credit.policy,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business,not.fully.paid
1,0.1189,116.08,10.30895266,11.68,722,6870.0,4621,45.8,0,0,0,True,False,False,False,False,False,0
0,0.1316,337.71,11.15625052,19.7,692,4110.041667,27200,69.2,4,0,0,False,True,False,False,False,False,1
0,0.1387,104.05,11.22524339,10.14,647,7260.0,17142,54.6,2,0,0,True,False,False,False,False,False,0
1,0.1411,154.03,10.29200994,18.1,672,4440.0,4321,56.5,2,2,0,True,False,False,False,False,False,0
1,0.1158,115.55,10.46310334,14.47,702,2160.0,8716,51.0,0,0,0,True,False,False,False,False,False,0
1,0.1284,235.33,10.59653473,8.52,707,3150.0,311,6.8,1,0,0,False,False,False,False,True,False,0
1,0.1221,599.67,10.86906356,13.36,742,5640.0,17064,56.7,0,0,0,False,True,False,False,False,False,0
1,0.1513,173.65,11.00209984,2.74,667,1126.958333,591,84.4,3,0,0,False,False,False,False,True,False,0
0,0.0838,94.54,9.903487553,6.72,732,3149.958333,7021,27.4,9,0,0,False,False,True,False,False,False,0
0,0.1186,198.89,10.51867319,4.54,667,930.0416667,6232,60.5,0,0,0,False,False,False,False,False,False,0
1,0.1474,345.37,11.73610102,9.34,677,5762.0,12403,39.8,2,1,0,False,True,False,False,False,False,0
1,0.0988,483.16,11.09741002,7.69,752,5400.041667,8816,23.8,0,0,0,False,False,False,False,False,False,0
0,0.164,106.07,10.727663,29.24,677,3060.041667,17419,94.2,0,0,0,False,False,False,False,False,False,0
1,0.1474,55.26,9.210340372,18.12,667,1710.0,5704,80.3,0,0,0,True,False,False,False,False,False,0
1,0.1128,236.68,10.93403511,19.25,707,3539.958333,3280,29.0,1,0,0,False,False,False,True,False,False,0
1,0.1287,282.52,11.75194237,16.36,687,3540.0,26040,60.8,1,0,0,False,False,False,True,False,False,0
1,0.1039,486.76,10.88382293,11.37,717,2250.0,24,0.3,0,0,0,False,True,False,False,False,False,0
1,0.1474,621.67,10.93310697,16.33,682,3270.0,18451,65.2,2,0,0,True,False,False,False,False,False,0
1,0.1189,198.99,11.3736634,19.38,727,5609.958333,42987,89.0,1,0,0,False,False,False,False,False,False,1
1,0.1221,266.52,11.1844214,21.73,692,5969.958333,25449,69.3,0,0,0,False,True,False,False,False,False,0
1,0.0963,356.25,10.1266311,17.71,742,4842.958333,6872,25.7,0,0,0,False,False,False,False,False,True,0
1,0.1284,268.95,10.6454249,14.2,717,1620.0,8687,54.6,0,0,0,False,True,False,False,False,False,0
1,0.1126,328.64,11.03488966,4.49,722,1710.041667,9021,27.7,0,0,0,False,True,False,False,False,False,0
1,0.1392,409.65,11.40756495,13.99,687,7949.958333,21648,86.9,0,1,0,False,False,False,True,False,False,0
1,0.1051,126.78,11.22524339,20.23,707,4619.958333,4508,30.7,0,0,0,True,False,False,False,False,False,0
1,0.1392,273.1,11.00209984,6.42,677,5789.958333,12897,47.8,0,3,0,False,True,False,False,False,False,0
1,0.1025,242.89,11.30220443,7.36,797,12184.04167,1386,9.0,1,0,0,False,False,False,False,False,False,0
1,0.1272,590.65,11.08214255,12.14,687,8880.041667,18734,62.0,2,0,1,False,False,False,False,False,False,0
1,0.1287,336.34,10.79949394,21.97,697,4560.041667,22259,66.8,0,0,0,False,False,False,False,False,False,0
1,0.0938,204.66,10.49127422,19.03,732,4114.041667,13871,38.6,1,0,0,False,True,False,False,False,False,0
1,0.1442,192.55,10.38899537,6.09,672,2279.958333,3805,48.8,2,0,0,False,False,False,False,False,False,0
1,0.0775,337.19,10.08580911,10.1,782,5400.0,1458,18.0,1,0,0,False,False,False,False,False,True,0
1,0.1411,410.75,11.04285783,15.55,677,2250.0,4450,37.1,1,0,0,False,False,False,False,False,False,0
0,0.1249,167.24,12.10071213,21.35,692,6046.958333,222702,30.5,0,0,0,True,False,False,False,False,False,0
1,0.0859,158.06,10.37349118,14.74,732,3390.0,3192,23.0,2,1,0,False,True,False,False,False,False,0
1,0.0894,317.72,11.08214255,15.05,742,6660.041667,37471,61.9,1,0,0,False,False,False,True,False,False,0
1,0.1122,223.34,10.83958091,18.68,682,1889.041667,9495,87.9,2,0,0,False,True,False,False,False,False,1
1,0.1379,408.91,11.06657586,24.7,687,4080.0,11972,72.1,0,0,0,False,True,False,False,False,False,0
1,0.1357,509.53,11.22524339,12.62,702,3929.958333,6424,92.2,1,0,0,False,True,False,False,False,False,0
0,0.1596,388.28,10.22976514,12.9,647,3720.0,2621,51.5,3,0,0,False,True,False,False,False,False,1
