credit.policy,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business,not.fully.paid
1,0.0859,316.11,10.49127422,16.0,752,5190.0,11185,24.9,1,0,0,False,False,False,False,False,False,0
1,0.1392,102.42,10.76231865,3.05,677,2490.0,4339,51.5,3,0,0,False,True,False,False,False,False,0
1,0.1008,80.77,11.08220409,1.55,697,4380.0,9743,62.9,1,0,0,False,False,False,False,False,False,0
1,0.0894,285.95,10.46310334,7.58,752,2610.041667,10308,35.2,1,0,0,True,False,False,False,False,False,0
0,0.1254,150.63,10.91508846,10.89,662,5760.0,20578,29.7,11,0,0,True,False,False,False,False,False,0
1,0.1189,497.46,10.77895629,20.27,712,4020.0,6478,35.2,0,0,0,False,True,False,False,False,False,0
1,0.0768,155.95,10.23995979,0.43,792,2267.0,103,1.5,0,0,0,False,False,False,False,False,True,0
1,0.1189,497.46,11.00209984,12.42,717,2370.041667,31563,40.5,3,0,0,False,True,False,False,False,False,0
1,0.1071,95.36,10.20359214,6.62,682,1199.0,6611,49.1,1,0,0,False,True,False,False,False,False,0
1,0.1357,594.45,10.96992094,13.45,692,2519.958333,5799,76.3,0,0,0,False,True,False,False,False,False,0
1,0.1375,255.43,9.998797732,14.29,662,1318.958333,4175,51.5,0,1,0,False,True,False,False,False,False,0
0,0.1392,102.42,9.574983486,9.31,687,1202.0,3745,64.6,4,0,0,False,False,True,False,False,False,0
1,0.1411,123.23,10.30895266,0.04,727,6239.958333,1,0.0,0,0,1,False,False,False,False,False,True,0
0,0.1411,102.69,9.392661929,5.1,672,10289.95833,256,4.2,4,0,0,False,True,False,False,False,False,0
1,0.1287,235.44,11.08220409,9.12,687,2250.0,7361,72.2,0,0,0,False,True,False,False,False,False,0
1,0.1158,343.34,10.82009823,8.09,727,3960.0,10167,89.2,0,0,0,False,True,False,False,False,False,0
1,0.0859,252.89,10.59663473,17.7,757,6180.0,26120,32.7,1,0,0,False,True,False,False,False,False,0
1,0.1347,441.0,10.69194491,13.88,692,2554.0,21199,90.2,0,0,0,True,False,False,False,False,False,0
1,0.1459,34.47,10.34817337,6.15,682,1200.041667,681,52.4,0,0,0,False,False,False,False,False,False,0
1,0.1704,249.72,11.18924309,23.39,672,3989.958333,4908,34.6,0,2,0,False,True,False,False,False,False,0
0,0.1387,238.81,10.30895266,10.8,657,2324.958333,5710,48.8,0,1,0,False,False,False,False,False,False,0
1,0.1387,477.61,11.04292184,20.45,677,2675.0,20065,66.0,2,0,0,False,True,False,False,False,False,0
1,0.0859,158.06,9.903487553,14.16,752,3660.0,5267,42.8,0,0,0,False,True,False,False,False,False,0
1,0.0894,190.63,11.00209984,22.48,742,5190.0,7056,27.9,4,0,0,False,True,False,False,False,False,0
1,0.1379,391.87,10.7342204,10.3,697,3659.958333,11361,35.3,0,3,0,False,True,False,False,False,False,0
1,0.1322,338.01,10.69557468,19.32,692,3869.958333,8540,87.1,1,0,0,False,True,False,False,False,False,0
1,0.1357,50.96,11.00209984,20.6,667,9840.0,19112,82.0,1,0,0,False,False,False,False,False,False,0
0,0.1355,169.8,11.03488966,4.88,652,6300.0,3341,19.8,3,1,0,False,True,False,False,False,False,0
1,0.1261,254.65,11.24575165,4.62,667,5129.0,7897,47.9,1,0,0,False,True,False,False,False,False,0
1,0.1347,508.84,11.41090381,3.77,682,4800.0,24545,66.9,0,0,0,True,False,False,False,False,False,0
1,0.1663,638.46,11.03811028,22.98,672,2310.0,18182,72.7,0,0,0,False,True,False,False,False,False,0
1,0.1426,34.31,9.903487553,8.34,667,1710.041667,3449,69.0,1,0,0,False,False,False,False,False,False,0
1,0.1095,490.71,11.35040654,5.73,777,9240.958333,1842,2.3,0,0,0,False,True,False,False,False,False,0
1,0.1025,161.93,11.03488966,8.65,717,3630.0,1158,10.5,2,0,0,False,True,False,False,False,False,0
1,0.1071,244.52,11.28968191,13.02,702,3479.958333,8709,30.1,3,0,0,False,True,False,False,False,False,0
1,0.1411,171.15,10.41271189,13.77,687,3030.041667,6557,52.9,2,0,0,False,False,False,False,False,True,0
1,0.1496,216.54,10.29688008,20.69,662,4110.0,18270,75.8,0,0,0,False,True,False,False,False,False,0
0,0.1284,168.09,10.81977828,8.66,737,4169.958333,0,0.0,6,0,0,False,False,True,False,False,False,1
1,0.0788,437.93,10.75790288,4.98,747,2940.0,4482,19.4,0,0,0,False,True,False,False,False,False,0
0,0.2011,260.53,10.30895266,10.44,667,540.0416667,6402,80.0,4,0,1,False,True,False,False,False,False,1
1,0.1347,508.84,10.68281243,13.13,687,9840.0,15273,24.9,2,1,0,False,False,False,True,False,False,1
1,0.1565,848.42,11.56171563,1.1,702,4381.0,2883,31.0,0,0,0,False,True,False,False,False,False,0
1,0.1496,692.9,11.5228758,14.48,767,5400.0,21076,48.1,1,0,0,False,False,False,False,False,True,0
